category,cores,memory,disk,cpu_time,wall_time
Analysis,2,277,670,0,0
Split,1,5,13155,0,0
Analysis,2,285,670,0,0
Split,1,1304,657,0,0
Analysis,2,284,670,0,0
Analysis,1,291,670,0,0
Analysis,2,281,670,0,0
Analysis,1,249,670,0,0
Analysis,2,260,670,0,0
Analysis,1,253,670,0,0
Analysis,1,257,670,0,0
Join,1,4,31684,0,0
Analysis,1,233,670,0,0
Join,1,4,31684,0,0
Analysis,1,247,670,0,0
Join,1,4,31682,0,0
Analysis,1,262,670,0,0
Join,1,4,31684,0,0
Analysis,1,245,670,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Split,1,1304,657,0,0
Join,1,4,40418,0,0
Split,1,1304,657,0,0
Join,1,4,40417,0,0
Split,1,1304,657,0,0
Join,1,4,40416,0,0
Split,1,1304,657,0,0
Join,1,4,40416,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Join,1,4,40418,0,0
Split,1,1304,657,0,0
Join,1,4,31684,0,0
Split,1,1304,657,0,0
Split,1,4,13154,0,0
Split,1,1304,657,0,0
Join,1,4,40416,0,0
Split,1,1304,657,0,0
Join,1,4,31682,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Split,1,4,13154,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Split,1,4,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Analysis,2,277,670,0,0
Analysis,1,291,670,0,0
Analysis,2,285,670,0,0
Analysis,1,249,670,0,0
Analysis,2,284,670,0,0
Analysis,1,253,670,0,0
Analysis,2,281,670,0,0
Analysis,1,239,670,0,0
Analysis,2,260,670,0,0
Analysis,1,255,670,0,0
Analysis,1,257,670,0,0
Analysis,1,321,714,0,0
Analysis,1,233,670,0,0
Analysis,1,321,715,0,0
Analysis,1,247,670,0,0
Analysis,1,321,715,0,0
Analysis,1,262,670,0,0
Analysis,1,321,714,0,0
Analysis,1,245,670,0,0
Analysis,1,321,714,0,0
Analysis,1,286,715,0,0
Analysis,1,291,670,0,0
Analysis,1,286,715,0,0
Analysis,1,249,670,0,0
Analysis,1,290,715,0,0
Analysis,1,253,670,0,0
Analysis,1,285,715,0,0
Analysis,1,239,670,0,0
Analysis,1,290,715,0,0
Analysis,1,255,670,0,0
Analysis,1,321,714,0,0
Analysis,1,140,714,0,0
Analysis,1,321,714,0,0
Analysis,1,159,714,0,0
Analysis,1,321,714,0,0
Analysis,1,170,714,0,0
Analysis,1,321,714,0,0
Analysis,1,176,714,0,0
Analysis,1,321,714,0,0
Analysis,1,178,715,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,40418,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,40415,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Analysis,2,277,670,0,0
Split,1,5,13155,0,0
Analysis,2,285,670,0,0
Split,1,1304,657,0,0
Analysis,2,284,670,0,0
Analysis,1,291,670,0,0
Analysis,2,281,670,0,0
Analysis,1,249,670,0,0
Analysis,2,260,670,0,0
Analysis,1,253,670,0,0
Analysis,1,257,670,0,0
Join,1,4,31684,0,0
Analysis,1,233,670,0,0
Join,1,4,31684,0,0
Analysis,1,247,670,0,0
Join,1,4,31682,0,0
Analysis,1,262,670,0,0
Join,1,4,31684,0,0
Analysis,1,245,670,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Split,1,1304,657,0,0
Join,1,4,40418,0,0
Split,1,1304,657,0,0
Join,1,4,40417,0,0
Split,1,1304,657,0,0
Join,1,4,40416,0,0
Split,1,1304,657,0,0
Join,1,4,40416,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Join,1,4,40418,0,0
Split,1,1304,657,0,0
Join,1,4,31684,0,0
Split,1,1304,657,0,0
Split,1,4,13154,0,0
Split,1,1304,657,0,0
Join,1,4,40416,0,0
Split,1,1304,657,0,0
Join,1,4,31682,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Split,1,4,13154,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Split,1,1304,657,0,0
Split,1,1304,657,0,0
Split,1,4,13154,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13155,0,0
Split,1,1304,657,0,0
Split,1,5,13154,0,0
Analysis,2,277,670,0,0
Analysis,1,291,670,0,0
Analysis,2,285,670,0,0
Analysis,1,249,670,0,0
Analysis,2,284,670,0,0
Analysis,1,253,670,0,0
Analysis,2,281,670,0,0
Analysis,1,239,670,0,0
Analysis,2,260,670,0,0
Analysis,1,255,670,0,0
Analysis,1,257,670,0,0
Analysis,1,321,714,0,0
Analysis,1,233,670,0,0
Analysis,1,321,715,0,0
Analysis,1,247,670,0,0
Analysis,1,321,715,0,0
Analysis,1,262,670,0,0
Analysis,1,321,714,0,0
Analysis,1,245,670,0,0
Analysis,1,321,714,0,0
Analysis,1,286,715,0,0
Analysis,1,291,670,0,0
Analysis,1,286,715,0,0
Analysis,1,249,670,0,0
Analysis,1,290,715,0,0
Analysis,1,253,670,0,0
Analysis,1,285,715,0,0
Analysis,1,239,670,0,0
Analysis,1,290,715,0,0
Analysis,1,255,670,0,0
Analysis,1,321,714,0,0
Analysis,1,140,714,0,0
Analysis,1,321,714,0,0
Analysis,1,159,714,0,0
Analysis,1,321,714,0,0
Analysis,1,170,714,0,0
Analysis,1,321,714,0,0
Analysis,1,176,714,0,0
Analysis,1,321,714,0,0
Analysis,1,178,715,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,40418,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,40415,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40418,0,0
Join,1,4,40416,0,0
Join,1,4,31684,0,0
Join,1,4,31682,0,0
Join,1,4,40416,0,0
Join,1,4,40416,0,0
Join,1,4,31682,0,0
Join,1,4,31682,0,0
Join,1,4,40417,0,0
Split,1,5,13155,203.09,260.195
Split,1,1304,657,335.098,348.18
Analysis,1,291,670,16.67,16.693
Analysis,1,249,670,16.49,16.5
Analysis,1,253,670,15.06,15.078
Analysis,1,239,670,26.236,26.425
Analysis,1,255,670,16.93,16.948
Analysis,1,272,670,18.01,18.025
Analysis,1,256,670,28.264,28.322
Analysis,1,269,670,26.87,26.896
Analysis,1,288,670,29.56,29.596
Analysis,1,233,670,23.627,23.801
Analysis,1,276,670,23.61,23.633
Analysis,1,275,670,17.55,17.571
Analysis,1,251,670,25.729,25.91
Analysis,1,277,670,16.83,16.849
Analysis,1,283,670,17.75,17.771
Analysis,1,238,670,22.754,22.779
Analysis,1,259,670,23.79,23.865
Analysis,1,245,670,24.46,24.488
Analysis,1,263,670,27.132,27.233
Analysis,1,247,670,23.939,23.968
