category,cores,memory,disk,cpu_time,wall_time
ttW_mAODv2,1,1575,86,1471.3,1591.722
ttW_mAODv2,1,1576,87,1480.15,1605.893
ttW_mAODv2,1,1961,83,1462.19,1620.504
ttW_mAODv2,1,1631,87,1482.77,1639.626
ttW_mAODv2,1,1635,88,1531.29,1687.554
ttW_mAODv2,1,1961,89,1533.17,1695.301
ttW_mAODv2,1,1964,89,1592.21,1754.588
ttW_mAODv2,1,1599,87,1524.45,1755.939
ttW_mAODv2,1,1609,89,1541.37,1771.286
ttW_mAODv2,1,1575,87,1489.12,1779.848
ttW_mAODv2,1,1569,88,1505.47,1795.789
ttW_mAODv2,1,1599,83,1462.19,1802.54
ttW_mAODv2,1,1946,89,1572.74,1807.277
ttW_mAODv2,1,1621,90,1583.72,1815.127
ttW_mAODv2,1,1632,88,1539.45,1814.867
ttW_mAODv2,1,1578,89,1531.94,1821.67
ttW_mAODv2,1,1979,91,1547.22,1827.3
ttZ_mAODv2,1,1591,97,1707.43,1831.826
ttZ_mAODv2,1,1589,99,1707.38,1833.13
ttW_mAODv2,1,1577,89,1545.72,1840.14
ttZ_mAODv2,1,1928,98,1714.78,1841.467
ttW_mAODv2,1,1572,91,1552.66,1841.823
ttW_mAODv2,1,1557,89,1550.14,1844.241
ttW_mAODv2,1,1961,89,1568.05,1846.055
ttW_mAODv2,1,1917,86,1502.77,1849.114
ttW_mAODv2,1,1559,88,1547.26,1914.067
ttW_mAODv2,1,1564,84,1440.82,1862.189
ttW_mAODv2,1,1583,89,1566.51,1926.203
ttW_mAODv2,1,1920,89,1543.4,1864.857
ttW_mAODv2,1,1916,88,1539.85,1868.291
ttW_mAODv2,1,1552,91,1582.26,1872.597
ttW_mAODv2,1,1569,88,1556.51,1880.015
ttW_mAODv2,1,1894,90,1571.19,1944.05
ttW_mAODv2,1,1575,87,1549.86,1884.646
ttZ_mAODv2,1,1596,98,1759.68,1888.451
ttZ_mAODv2,1,1609,99,1762.04,1888.808
ttW_mAODv2,1,1586,88,1539.16,1891.263
ttW_mAODv2,1,1555,90,1561.69,1902.092
ttW_mAODv2,1,1925,89,1569.1,1903.52
ttZ_mAODv2,1,1933,98,1781.06,1905.099
ttW_mAODv2,1,1908,89,1583.66,1970.813
ttW_mAODv2,1,1566,91,1599.42,1972.42
ttW_mAODv2,1,1565,89,1582.1,1910.422
ttW_mAODv2,1,1609,88,1555.04,1911.436
ttW_mAODv2,1,1943,88,1556.04,1911.129
ttW_mAODv2,1,1588,89,1578.91,1919.217
ttZ_mAODv2,1,1963,99,1751.18,1930.964
ttZ_mAODv2,1,1636,97,1749.72,1932.04
ttW_mAODv2,1,1593,87,1574.31,1933.476
ttZ_mAODv2,1,1968,99,1759.1,1936.739
ttW_mAODv2,1,1607,89,1583.54,1938.924
ttZ_mAODv2,1,1636,99,1760.9,1942.004
ttZ_mAODv2,1,1965,99,1756.61,1942.051
ttW_mAODv2,1,1930,89,1584.95,1944.258
ttZ_mAODv2,1,2000,97,1764.58,1944.353
ttZ_mAODv2,1,1635,99,1764.62,1950.72
ttZ_mAODv2,1,1619,96,1709.16,1956.024
ttW_mAODv2,1,1570,87,1545.5,1960.353
ttW_mAODv2,1,1572,88,1551.75,1964.496
ttW_mAODv2,1,1913,90,1633.74,1965.63
ttZ_mAODv2,1,1620,98,1725.87,1972.692
ttZ_mAODv2,1,1629,98,1695.14,1973.348
ttW_mAODv2,1,1566,89,1550.66,1977.394
ttZ_mAODv2,1,1617,98,1734.93,1980.815
ttW_mAODv2,1,1569,88,1573.85,1985.691
ttZ_mAODv2,1,1579,93,1627.04,1986.241
ttZ_mAODv2,1,1597,97,1748.86,1993.111
ttW_mAODv2,1,1563,89,1574.33,1997.976
ttZ_mAODv2,1,1952,99,1752.03,1999.526
ttZ_mAODv2,1,1602,97,1760.94,2008.751
ttZ_mAODv2,1,1613,97,1758.59,2008.984
ttZ_mAODv2,1,1641,101,1834.47,2011.005
ttZ_mAODv2,1,1635,100,1833.04,2014.034
ttZ_mAODv2,1,1631,99,1738.04,2018.424
ttZ_mAODv2,1,1575,98,1723.96,2019.091
ttZ_mAODv2,1,1633,99,1738.85,2020.393
ttZ_mAODv2,1,1612,98,1763.01,2020.392
ttW_mAODv2,1,1582,90,1600.7,2022.576
ttZ_mAODv2,1,1626,99,1784.37,2032.93
ttZ_mAODv2,1,1604,98,1793.14,2042.555
ttZ_mAODv2,1,1567,99,1760.6,2056.003
ttZ_mAODv2,1,1939,100,1815.44,2062.983
ttZ_mAODv2,1,1943,97,1720.03,2076.343
ttZ_mAODv2,1,1925,99,1782.27,2078.251
ttZ_mAODv2,1,1630,100,1802.94,2080.681
ttZ_mAODv2,1,1644,96,1721.86,2096.284
ttZ_mAODv2,1,1631,100,1824.86,2101.589
ttZ_mAODv2,1,1575,100,1808.1,2101.678
ttZ_mAODv2,1,1587,96,1740.01,2105.739
ttZ_mAODv2,1,1596,96,1722.64,2111.272
ttZ_mAODv2,1,1607,97,1743.93,2116.098
ttZ_mAODv2,1,1593,97,1726.41,2116.648
ttZ_mAODv2,1,1589,98,1754.38,2121.815
ttZ_mAODv2,1,1584,99,1758.13,2122.062
ttZ_mAODv2,1,1925,97,1770.55,2123.986
ttZ_mAODv2,1,1635,102,1844.12,2124.579
ttZ_mAODv2,1,1581,98,1755.72,2126.295
ttZ_mAODv2,1,1593,97,1736.58,2126.705
ttZ_mAODv2,1,1596,97,1752.03,2132.487
ttZ_mAODv2,1,1595,98,1758.58,2134.001
ttZ_mAODv2,1,1606,98,1764.77,2140.357
ttZ_mAODv2,1,1894,98,1736.77,2165.565
ttZ_mAODv2,1,1946,100,1790.87,2166.044
ttZ_mAODv2,1,1590,99,1785.86,2168.297
ttZ_mAODv2,1,1911,101,1814.23,2176.769
ttZ_mAODv2,1,1562,97,1740.21,2175.92
ttZ_mAODv2,1,1889,97,1746.74,2183.468
ttZ_mAODv2,1,1565,96,1760.56,2186.698
ttZ_mAODv2,1,1922,101,1821.36,2193.668
ttZ_mAODv2,1,1573,97,1762.92,2196.627
ttZ_mAODv2,1,1560,97,1718.89,2260.255
ttZ_mAODv2,1,1904,98,1771.63,2199.067
ttZ_mAODv2,1,1607,101,1836.4,2212.285
ttZ_mAODv2,1,1919,100,1771.26,2213.548
ttZ_mAODv2,1,1920,98,1788.72,2221.831
ttZ_mAODv2,1,1574,98,1769.23,2297.025
ttZ_mAODv2,1,1570,99,1782.8,2314.163
ttZ_mAODv2,1,1574,98,1805.55,2338.77
ttZ_mAODv2,1,1598,97,1714.71,2121.511
ttZ_mAODv2,1,1597,98,1719.97,2122.424
ttZ_mAODv2,1,1598,97,1756.86,2156.224
ttZ_mAODv2,1,1600,98,1752.15,2156.721
ttW_mAODv2,1,1428,83,1388.94,1423.337
ttW_mAODv2,1,1663,86,1459.32,1556.953
ttW_mAODv2,1,1627,86,1455.96,1542.741
ttW_mAODv2,1,1640,89,1521.8,1605.188
ttZ_mAODv2,1,1611,75,1280.53,1342.231
ttW_mAODv2,1,1962,86,1505.89,1598.06
ttW_mAODv2,1,1586,88,1466.17,1496.938
ttW_mAODv2,1,1600,88,1515.49,1546.694
ttZ_mAODv2,1,1511,98,1741.77,1791.808
ttW_mAODv2,1,1582,88,1537.28,1577.407
ttZ_mAODv2,1,1646,97,1693.6,1779.027
ttW_mAODv2,1,1630,88,1508.19,1551.291
ttW_mAODv2,1,1643,89,1501.9,1556.696
ttW_mAODv2,1,1600,88,1533.72,1608.197
ttZ_mAODv2,1,1583,98,1708.34,1749.228
ttZ_mAODv2,1,1935,99,1711.73,1747.792
ttZ_mAODv2,1,1653,97,1684.41,1734.675
ttZ_mAODv2,1,1626,99,1694.42,1720.477
ttZ_mAODv2,1,1612,96,1715.44,1812.756
ttZ_mAODv2,1,1926,100,1749.95,1792.933
ttZ_mAODv2,1,1578,101,1766.05,1800.542
ttZ_mAODv2,1,1632,98,1710.47,1793.393
ttZ_mAODv2,1,1603,99,1732.02,1804.959
ttZ_mAODv2,1,1626,98,1682.93,1890.921
ttZ_mAODv2,1,1524,101,1811.34,1886.833
ttW_mAODv2,1,1938,90,1556.43,1598.903
ttZ_mAODv2,1,1945,98,1737.26,1779.997
ttW_mAODv2,1,1568,90,1566.5,1741.663
ttZ_mAODv2,1,1573,99,1739.45,1822.225
ttZ_mAODv2,1,1575,97,1758.79,1842.376
ttZ_mAODv2,1,1575,98,1738.51,1913.252
ttZ_mAODv2,1,1927,98,1741.97,1915.677
ttZ_mAODv2,1,1911,99,1771.07,1943.022
ttZ_mAODv2,1,1933,100,1774.62,1947.957
ttZ_mAODv2,1,1915,100,1818.65,1987.377
ttZ_mAODv2,1,1567,98,1716.69,1784.455
ttZ_mAODv2,1,1904,98,1720.09,1790.735
ttZ_mAODv2,1,1557,99,1747.25,1815.286
ttZ_mAODv2,1,1567,100,1750.05,1815.983
ttZ_mAODv2,1,1546,98,1764.47,1829.124
ttZ_mAODv2,1,1667,120,2127.94,2169.433
ttZ_mAODv2,1,1741,398,7484.49,7560.396
ttZ_mAODv2,1,1650,399,7484.16,7544.882
ttZ_mAODv2,1,1777,392,7362.13,7446.174
ttZ_mAODv2,1,1782,400,7502.27,7556.423
ttZ_mAODv2,1,1645,397,7649.72,7711.292
ttZ_mAODv2,1,1635,399,7559.37,7686.703
ttZ_mAODv2,1,1754,406,7650.88,7715.287
ttZ_mAODv2,1,1618,401,7600.5,7723.041
ttZ_mAODv2,1,1611,397,7557.59,7681.106
ttZ_mAODv2,1,1637,405,7616.24,7715.996
ttZ_mAODv2,1,1943,400,7615.27,7721.253
ttZ_mAODv2,1,1699,403,7555.95,7789.801
ttZ_mAODv2,1,1758,403,7731.43,7806.269
ttZ_mAODv2,1,1610,399,7625.07,7756.274
ttZ_mAODv2,1,1660,400,7613.13,7711.394
ttZ_mAODv2,1,1613,395,7799.42,7916.662
ttZ_mAODv2,1,1659,96,1616.1,1642.236
ttZ_mAODv2,1,1673,403,7877.08,7944.06
ttZ_mAODv2,1,1678,402,7712.51,7950.622
ttZ_mAODv2,1,1639,404,7832.03,7939.223
ttZ_mAODv2,1,1694,401,7629.58,7705.24
ttZ_mAODv2,1,1668,401,7666.9,7742.905
ttZ_mAODv2,1,1791,402,7790.85,7866.288
ttZ_mAODv2,1,1702,402,7672.64,7750.381
ttZ_mAODv2,1,1708,408,7841.27,8074.449
ttW_mAODv2,1,1775,366,6618.7,6673.997
ttW_mAODv2,1,1771,366,6627.43,6681.686
ttW_mAODv2,1,1713,368,6771.15,6824.937
ttW_mAODv2,1,1706,362,6722.31,6776.445
ttW_mAODv2,1,1703,367,6795.12,6845.563
ttW_mAODv2,1,1723,363,6781.8,6836.152
ttW_mAODv2,1,1743,364,6740.59,6800.25
ttW_mAODv2,1,1767,363,6891.49,6975.014
ttW_mAODv2,1,1733,367,6919.4,6978.546
ttW_mAODv2,1,1745,373,6927.55,6979.623
ttW_mAODv2,1,1775,368,6936.68,6990.575
ttW_mAODv2,1,1773,369,6900.92,6953.255
ttW_mAODv2,1,1691,364,6918.65,6984.869
ttW_mAODv2,1,1797,364,6698.35,6760.686
ttW_mAODv2,1,1792,365,6717.19,6783.65
ttW_mAODv2,1,1720,374,6725.65,6787.31
ttW_mAODv2,1,1701,368,6773.06,6828.86
ttW_mAODv2,1,1700,369,6797.33,6857.603
ttW_mAODv2,1,1661,367,6778.77,6848.495
ttW_mAODv2,1,1809,370,6843.81,6906.382
ttW_mAODv2,1,1706,373,6849.64,6912.401
ttW_mAODv2,1,1693,371,6810.85,6876.634
ttW_mAODv2,1,1668,365,6791.96,6965.831
ttW_mAODv2,1,1727,370,6821.68,6885.121
ttW_mAODv2,1,1797,371,6959.77,7027.066
ttW_mAODv2,1,1699,366,6833.44,6918.094
ttW_mAODv2,1,1725,373,6880.9,6954.698
ttW_mAODv2,1,1664,364,6976.48,7042.733
ttW_mAODv2,1,1685,367,6886.3,7064.769
ttW_mAODv2,1,1789,377,7081.28,7152.811
ttW_mAODv2,1,1675,369,6989.95,7162.149
ttW_mAODv2,1,1773,430,7857.31,7912.842
ttW_mAODv2,1,1823,422,7835.01,7893.624
ttW_mAODv2,1,1678,373,7157.4,7336.985
ttW_mAODv2,1,1809,425,7870.58,7930.762
ttZ_mAODv2,1,1803,402,7378.55,7433.343
ttZ_mAODv2,1,1817,404,7472.54,7534.345
ttZ_mAODv2,1,1847,391,7433.11,7510.997
ttZ_mAODv2,1,1809,403,7540.19,7600.71
ttZ_mAODv2,1,1852,400,7491.13,7565.294
ttZ_mAODv2,1,1656,399,7467.84,7610.028
ttZ_mAODv2,1,1806,402,7586.19,7649.507
ttZ_mAODv2,1,1819,402,7590.36,7655.281
ttZ_mAODv2,1,1638,402,7545.07,7683.423
ttZ_mAODv2,1,1737,395,7595.26,7654.332
ttZ_mAODv2,1,1763,402,7661.87,7721.834
ttZ_mAODv2,1,1810,403,7698.36,7763.955
ttZ_mAODv2,1,1641,397,7645.92,7788.801
ttZ_mAODv2,1,1638,399,7645.04,7790.542
ttZ_mAODv2,1,1837,396,7695.7,7769.368
ttZ_mAODv2,1,1777,401,7699.06,7835.164
ttW_mAODv2,1,1636,331,7771.39,7942.473
ttW_mAODv2,1,1988,335,7777.35,7955.933
ttW_mAODv2,1,1633,333,7786.84,7962.228
ttW_mAODv2,1,1607,335,7796.69,7979.817
ttW_mAODv2,1,1628,337,7816.94,7991.648
